phien_am,audio
[pā],[a a zhì]
[èr líng yī jiǔ guān zhuàng bìng dú bìng],[a b zhì]
[èr shí yī sān tǐ zōng hé zhèng],[a c g]
[sān c],[a cài]
[sān p],[a huò]
[sān q],[a kā]
[sì èr yī],[a piàn]
[wǔ líng èr jiāo],[a quān er]
[bā bā],[a]
[jiǔ jiǔ liù],[ā q zhèng zhuàn]
[a],[ā q]
[a a zhì],[ā]
[a b zhì],[ā bā]
[a c g],[ā bā gā qí]
[a kā],[ā bā lā qì yà]
[a quān r],[ā bā sī]
[a piàn],[ā bá sī wáng cháo]
[a cài],[ā bà]
[a huò],[ā bà fù]
[bī],[ā bà xiàn]
[b m],[ā bà zàng zú qiāng zú zì zhì zhōu]
[b p jī],[ā bà zhōu]
[b xíng chāo shēng],[ā bèi ěr]
[bī gé],[ā bí]
[b zhàn],[ā bí dì yù]
[b chāo],[ā bǐ]
[c j b],[ā bǐ ràng]
[c p],[ā bǐ xī ní yà]
[c p zhí],[ā bǐ xī ní yà guān huà]
[c wèi],[ā bǐ xī ní yà rén]
[c pán],[ā biǎn]
[c luó],[ā bīng gē]
[d n a jiàn dìng],[ā bō luó]
[e zǎi],[ā bō luó jì huà]
[g yǒu],[ā bó dīng]
[g xián kù],[ā bǔ dù lā]
[g diǎn],[ā bù dá bǐ]
[h qiáo],[ā bù hā zī]
[i p],[ā bù jiǎ]
[i p jù],[ā bù lái tí ā bù dū rè xī tí]
[j k zhì fú],[ā bù shā yē fū]
[k rén],[ā bù shū chún]
[k zǎi],[ā bù zā bǐ]
[k tā mìng],[ā bù zhā bǐ shì]
[k fáng],[ā chāng]
[k shū],[ā chéng]
[k gē],[ā chéng qū]
[k fěn],[ā chū fó]
[k xiàn],[ā chù fó]
[k xiàn tú],[ā cí hǎi mò zhèng]
[k jīn],[ā dá bǐ ěr]
[l zhào],[ā dān]
[m c],[ā dào sī hè xū lì]
[m v],[ā dé lái dé]
[m jīn],[ā dé léi dé]
[n g],[ā dí dá sī]
[n g piàn duàn],[ā dí sēn shì bìng]
[n g jìng tóu],[ā dí sī ā bèi bā]
[n jiǔ],[ā dì]
[n dǎng],[ā dì píng]
[o k bēng],[ā diē]
[o k jìng],[ā dīng dìng]
[o s],[ā dìng]
[o xíng tuǐ],[ā dǒu]
[p],[ā duō ní sī]
[p a],[ā duō nuò]
[p a bù],[ā ěr bā ní yà]
[p k],[ā ěr bā ní yà rén]
[pō],[ā ěr bēi sī]
[pō wén],[ā ěr bó tǎ]
[p u],[ā ěr bó tè]
[p u a],[ā ěr cí hǎi mò]
[p tú],[ā ěr cí hǎi mò bìng]
[p dǎng],[ā ěr cí hǎi mò shì bìng]
[p mín],[ā ěr cí hǎi mò shì zhèng]
[q],[ā ěr cí hǎi mò zhèng]
[q r kòu],[ā ěr dōu sāi]
[q jìn],[ā ěr fǎ luó mì ōu]
[q tán],[ā ěr fǎ]
[t],[ā ěr fǎ lì zǐ]
[tā],[ā ěr gài dá]
[t f kǎ],[ā ěr gē sī]
[t o n y],[ā ěr gǔn qín]
[t o n y lǎo shī],[ā ěr hàn gé ěr sī kè zhōu]
[t tái],[ā ěr jí ěr]
[t xíng tái],[ā ěr jí lì yà]
[t zì zhàng],[ā ěr jí lì yà rén]
[t zì kù],[ā ěr jiā wéi]
[t xù],[ā ěr kǎ tè]
[t xū],[ā ěr kǎn tǎ lā]
[u p zhǔ],[ā ěr méi lǐ yà]
[u s b shǒu zhǐ],[ā ěr sà sī]
[u s b jì yì bàng],[ā ěr shān]
[u tū nèi kù],[ā ěr shān shì]
[u xíng zhěn],[ā ěr sī tōng gōng sī]
[u xíng chí],[ā ěr tài]
[u xíng zhuǎn wān],[ā ěr tài shān]
[u pán],[ā ěr tài shān mài]
[u dùn],[ā ěr tài xuě jī]
[v c r],[ā ěr tài yǔ]
[v gōu],[ā ěr tài zǐ wǎn]
[x o jiàng],[ā ěr tè mí sī]
[x guāng],[ā ěr wǎ sè tè]
[c o s],[ā fǎ ěr]
[i n s],[ā fǎ ěr shā mò]
[m u a],[ā fǎ luō mì ōu]
[w],[ā fán dá]
[w o r d],[ā fán tí]
[w o r d jiě],[ā fàn dá]
[pài rì],[ā fēi]
[biàng],[ā fēi lì jiā]
[biū],[ā fēi lì jiā zhōu]
[gīng],[ā fú jiā dé luó]
[líng],[ā fú jiā dé luó cháng shù]
[zhú],[ā fú lè ěr hào]
[xx],[ā fú luó dí tè]
[yī],[ā fú luò dí tè]
[èr],[ā fú róng]
[sān],[ā fù hàn]
[sì],[ā fù hàn yǔ]
[wǔ],[ā gài dá]
[liù],[ā gān zhèng zhuàn]
[qī],[ā gē]
[bā],[ā gé ní dí]
[jiǔ],[ā gēn tíng]
[shí],[ā gōng]
[xx xx xx xx],[ā gū]
[kuà],[ā hé qí]
[yǐn],[ā hé qí xiàn]
[xié],[ā hè dì sà lǐ]
[xié dú],[ā hēi mén ní dé wáng cháo]
[chóu],[ā hēng]
[nuò],[ā hēng gōng yè dà xué]
[qiú],[ā hēng kē jì dà xué]
[xiōng],[ā hōng]
[xìn],[ā huà tián]
[zhòng],[ā hùn]
[yì],[ā jī mǐ dé]
[zhòu],[ā jiā dí ěr]
[jùn],[ā jiā shā kè lǐ sī dì]
[liǎng],[ā jiā wéi]
[suì],[ā jīn kù ěr]
[wǎng],[ā kā liú sī]
[kòu],[ā kǎ]
[jié],[ā kǎ bèi lā]
[què],[ā kǎ dī]
[chú],[ā kǎ dí yà]
[cān],[ā kǎ dí yà dà xué]
[shēn],[ā kǎ pǔ ěr kē]
[yǐ],[ā kè lā]
[nè],[ā kè lún]
[pǒu],[ā kè lún hé]
[shěng],[ā kè sài hā sà kè zú zì zhì xiàn]
[hǎn],[ā kè sài qīn]
[ào],[ā kè sài xiàn]
[bù],[ā kè sū]
[duō],[ā kè sū dì qū]
[jī],[ā kè sū hé]
[jī jiān],[ā kè sū shì]
[nuǒ],[ā kè táo]
[chún],[ā kè táo xiàn]
[sù],[ā kěn sè]
[míng],[ā kěn sè dà xué]
[zuì],[ā kěn sè zhōu]
[ài],[ā kōng jiā guā]
[dé],[ā kōng jiā guā shān]
[bǎ],[ā kuí nà]
[bǎ ba],[ā lā]
[niào],[ā lā bā mǎ]
[sóng],[ā lā bā mǎ zhōu]
[àn],[ā lā bó]
[sī],[ā lā bó bàn dǎo]
[dǎo],[ā lā bó diàn xìn lián méng]
[jiù],[ā lā bó gòng tóng shì chǎng]
[fān],[ā lā bó guó jiā lián méng]
[mào],[ā lā bó hǎi]
[lián],[ā lā bó huí xiāng]
[jiǒng],[ā lā bó jiāo]
[xùn],[ā lā bó lián hé dà gōng guó]
[xī],[ā lā bó lián hé qiú zhǎng guó]
[xì],[ā lā bó rén]
[ēn],[ā lā bó shù zì]
[tiǎn],[ā lā bó táng]
[qiè],[ā lā bó wén]
[cháng],[ā lā bó yǔ]
[lǎo],[ā lā dīng]
[ná],[ā lā ěr]
[duǐ],[ā lā ěr shì]
[huǎng],[ā lā fǎ tè]
[jù],[ā lā fú lā hǎi]
[dèn],[ā lā gān shān mài]
[lǎn],[ā lā mǐ yǔ]
[sǒng],[ā lā mó]
[hé],[ā lā mù tú]
[hàn],[ā lā shàn]
[sàn],[ā lā shàn méng]
[dūn],[ā lā shàn yòu qí]
[làng],[ā lā shàn zuǒ qí]
[nuǎn],[ā lā sī]
[xiǎn],[ā lā sī jiā]
[bēi],[ā lā sī jiā dà xué]
[lì],[ā lā sī jiā xuě qiāo quǎn]
[sòng],[ā lā sī jiā zhōu]
[lǔ],[ā lā tǎ sī]
[qíng],[ā lā wǎ]
[gāi],[ā lái]
[sháo],[ā lái màn]
[táo],[ā lái qí bīng chuān]
[chuò],[ā lán]
[liè],[ā lán rě]
[yǔ],[ā lán wén]
[yán],[ā lè tài]
[xián],[ā lè tài dì qū]
[fù],[ā lè tài shì]
[fǎ],[ā lǐ]
[chōng],[ā lǐ bā bā]
[jiàn],[ā lǐ dì qū]
[jué],[ā lǐ láng]
[jué shuǐ],[ā lǐ shān]
[zhào],[ā lǐ shān xiāng]
[fēng],[ā lǐ sī tuō fāng]
[yè],[ā lǐ sī tuō fēn]
[huò],[ā lì kǎn tè]
[tún],[ā lì téng]
[jiā],[ā lì yà nà]
[gěng],[ā lián]
[gěng quǎn],[ā lián qiú]
[huò jiā pī],[ā lián qiú háng kōng]
[tú],[ā lián qiú zhǎng guó]
[xuán],[ā lián qū]
[wǎn],[ā liè fū]
[liú],[ā liè kè xī sī]
[xīng],[ā líng dùn guó jiā gōng mù]
[biě],[ā liú shēn qún dǎo]
[xiāng],[ā lú bā]
[huàng],[ā lǔ bā]
[mín],[ā lǔ kē ěr qìn]
[zhà],[ā lǔ kē ěr qìn qí]
[zhuó],[ā lǔ nà qià ěr bāng]
[cè],[ā lún]
[shāo],[ā lún dá ěr]
[hú],[ā luó hàn]
[yáo],[ā luó yuē]
[shān],[ā luò fēi]
[rǎn],[ā mā]
[qì],[ā mǎ ní]
[huá],[ā mǎ xùn]
[qián],[ā màn]
[méng],[ā màn wān]
[é],[ā máng ná]
[zōng],[ā māo ā gǒu]
[zhè],[ā měi ēn sī]
[là],[ā měi ní yà]
[xù],[ā měi zú]
[mài],[ā mèi]
[zú],[ā mén]
[cí],[ā men]
[jiá],[ā méng]
[huān],[ā mǐ bā]
[chēng],[ā mǐ bā bìng]
[bì],[ā mǐ bā lì ji]
[zhǐ],[ā mǐ bā yuán chóng]
[chǎng],[ā mǐ nà dá bù]
[tāng],[ā míng]
[cù],[ā mó ní yà]
[shè],[ā mó ní yà shuǐ]
[chū],[ā mó sī shū]
[bà],[ā mò xī lín]
[pēng],[ā mǔ hā lā]
[tiáo],[ā mǔ hé]
[sà],[ā mǔ sī tè dān]
[fēi],[ā mǔ sī tè lǎng]
[bó],[ā mù ěr hé]
[tuó],[ā mù ěr zhōu]
[suǐ],[ā mù lín]
[hún],[ā nǎi]
[bā yú],[ā nān]
[wèi],[ā ní lín]
[jīng],[ā nuò shī wǎ xīn gé]
[guǎn],[ā nuò]
[jí],[ā nuò dé shī wǎ xīn gé]
[huán],[ā pí yà]
[huán zuǐ yù],[ā piàn]
[fū],[ā piāo]
[zhī],[ā pó]
[nù:],[ā pǔ ěr dùn]
[tì],[ā pǔ tǔ lóng]
[yī yī],[ā qí lǐ sī]
[yī yī duì yìng],[ā qí méi sù]
[yī yī yìng shè],[ā qín]
[yī dīng bù shí],[ā róng qí]
[yī dīng diǎn],[ā ruì sī]
[yī xià],[ā sà dé]
[yī xià r],[ā sà mǔ]
[yī xià zi],[ā sài bài jiāng]
[yī bù zuò ; èr bù xiū],[ā sài bài jiāng rén]
[yī bù xiǎo xīn],[ā sān]
[yī shì],[ā sè]
[yī qiū zhī hé],[ā sè xiàn]
[yī bìng],[ā sè zhèn]
[yī zhōng yī tái],[ā sēn]
[yī zhōng yuán zé],[ā sēn nà]
[yī zhī wéi shèn],[ā sēn sī]
[yī zhī wèi shèn],[ā sēn sōng dǎo]
[yī gān èr jìng],[ā shā lì]
[yī liǎo bǎi liǎo],[ā shé lí]
[yī shì wú chéng],[ā shén hā bā dé]
[yī èr],[ā shén lā wéi]
[yī èr jiǔ yùn dòng],[ā shǐ nà gǔ duō lù]
